ReviewID,ReviewDate,AirportCode,ReviewText,SentimentScore,SentimentCategory,CustomerSatisfactionIntensity
RV000,2026-05-23,JFK,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV001,2026-05-23,ATL,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV002,2026-05-23,ATL,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV010,2026-05-24,ORD,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV011,2026-05-24,ORD,The flight was on time and staff were helpful.,0.4215,Positive,42.1
RV012,2026-05-24,JFK,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV020,2026-05-25,LAX,The flight was on time and staff were helpful.,0.4215,Positive,42.1
RV021,2026-05-25,ATL,I loved the comfort but the baggage wait was too long.,0.4939,Positive,49.4
RV022,2026-05-25,ATL,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV030,2026-05-26,JFK,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV031,2026-05-26,LAX,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV032,2026-05-26,DFW,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV040,2026-05-27,ORD,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV041,2026-05-27,LAX,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV042,2026-05-27,LAX,I loved the comfort but the baggage wait was too long.,0.4939,Positive,49.4
RV050,2026-05-28,JFK,The flight was on time and staff were helpful.,0.4215,Positive,42.1
RV051,2026-05-28,ORD,I loved the comfort but the baggage wait was too long.,0.4939,Positive,49.4
RV052,2026-05-28,JFK,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV060,2026-05-29,JFK,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV061,2026-05-29,DFW,The flight was on time and staff were helpful.,0.4215,Positive,42.1
RV062,2026-05-29,JFK,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
RV070,2026-05-30,ORD,Crew service was poor and flight announcements were unclear.,-0.6249,Negative,62.5
RV071,2026-05-30,JFK,I loved the comfort but the baggage wait was too long.,0.4939,Positive,49.4
RV072,2026-05-30,ORD,"Delayed departure was frustrating, but the crew still tried.",-0.34,Negative,34.0
RV080,2026-05-31,ORD,Smooth boarding while the weather made operations challenging.,0.1531,Positive,15.3
